json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/507.json,華南商業銀行股份有限公司,華南全球運籌金流計畫,,"91年4月1日 至 92年12月31日","87,000 仟元","21,000 仟元","66,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=507
outputs/508.json,彰化商業銀行股份有限公司,彰銀企業全球電子金融中心,,"91年4月1日 至 92年12月31日","87,906 仟元","21,000 仟元","66,906 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=508
outputs/509.json,新寶科技股份有限公司,"e-Formosa 全球運籌電子化計畫",,"91年5月1日 至 92年12月31日","83,844 仟元","22,000 仟元","61,844 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=509
outputs/510.json,大眾電腦股份有限公司,大眾公司全球運籌電子化計畫(e-Glogistics),,"91年5月1日 至 92年12月31日","87,290 仟元","24,000 仟元","63,290 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=510
outputs/511.json,建準電機工業股份有限公司,建準研發設計協同作業整合系統計畫,,"91年5月1日 至 93年4月30日","56,711 仟元","18,000 仟元","38,711 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=511
outputs/512.json,中國信託商業銀行股份有限公司,中信銀產業運籌金流電子化計畫,,"91年4月1日 至 92年12月31日","81,253 仟元","21,000 仟元","60,253 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=512
outputs/513.json,第一商業銀行股份有限公司,第一銀行產業金流電子化開發計畫,,"91年4月1日 至 93年9月30日","87,000 仟元","21,000 仟元","66,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=513
outputs/514.json,遠東國際商業銀行股份有限公司,遠東商銀e流網金計畫,,"91年4月1日 至 92年12月31日","84,852 仟元","18,000 仟元","66,852 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=514
outputs/515.json,瑞軒科技股份有限公司,電子化全球產品支援中心,,"91年5月1日 至 92年12月31日","55,715 仟元","17,000 仟元","38,715 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=515
outputs/516.json,華宇電腦股份有限公司,華宇電腦金物流電子化計畫,,"91年7月1日 至 93年9月30日","85,850 仟元","21,000 仟元","64,850 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=516
outputs/517.json,惠普科技股份有限公司,惠普惠第一(TaiLink)計畫,,"91年7月1日 至 93年3月31日","97,788 仟元","27,500 仟元","70,288 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=517
outputs/518.json,大眾電腦股份有限公司,"大眾公司研發設計協同作業電子化計畫 e-Development",,"91年9月1日 至 93年2月28日","60,232 仟元","13,500 仟元","46,732 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=518
