json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/585.json,三陽工業股份有限公司,三陽工業全球化設計鏈協同設計計畫,,"94年6月1日 至 96年5月31日","68,188 仟元","16,000 仟元","52,188 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=585
outputs/586.json,凌昂資訊股份有限公司,醫療產業RFID應用規劃計畫,,"94年4月1日 至 94年12月31日","7,418 仟元","3,237 仟元","4,181 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=586
outputs/587.json,喜美旅行社股份有限公司,旅遊業創新服務模式與供應鍊整合運用,,"94年9月1日 至 96年8月31日","46,530 仟元","11,300 仟元","35,230 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=587
outputs/588.json,精融網路科技股份有限公司,工具機產業研發協同資訊應用開發計畫,,"94年10月1日 至 96年9月30日","48,600 仟元","15,000 仟元","33,600 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=588
outputs/589.json,台灣富得巴精模機材股份有限公司,模座開發服務體系計畫,,"94年9月1日 至 95年8月31日","32,625 仟元","12,000 仟元","20,625 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=589
outputs/590.json,智邦科技股份有限公司,綠色供應鏈管理計畫,,"94年7月1日 至 96年6月30日","50,100 仟元","18,500 仟元","31,600 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=590
outputs/591.json,大眾電腦股份有限公司,大眾寰淨計畫,,"94年7月1日 至 95年12月31日","40,000 仟元","14,000 仟元","26,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=591
outputs/592.json,華宇電腦股份有限公司,"綠動計畫(Arima SDC-3In@Clone)",,"94年9月1日 至 96年8月31日","42,210 仟元","12,000 仟元","30,210 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=592
outputs/593.json,中環股份有限公司,"中環全球運籌II － 資智通見計畫",,"94年8月1日 至 96年12月31日","45,000 仟元","12,000 仟元","33,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=593
outputs/594.json,華碩電腦股份有限公司,綠色鏈管理應用平台研發計劃,,"94年7月1日 至 96年6月30日","63,020 仟元","22,000 仟元","41,020 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=594
outputs/595.json,台灣區電機電子工業同業公會,寰凈計畫-綠色電機電子零件材料驗證資訊平台計畫,,"94年7月1日 至 96年6月30日","64,140 仟元","24,500 仟元","39,640 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=595
outputs/596.json,福裕事業股份有限公司,精密工具機跨國合作協同設計系統,,"94年11月1日 至 96年10月31日","38,500 仟元","12,000 仟元","26,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=596
outputs/597.json,花仙子企業股份有限公司,花仙子企業『花冠』計畫,,"94年10月1日 至 97年6月30日","34,000 仟元","9,500 仟元","24,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=597
outputs/598.json,神達電腦股份有限公司,神達電腦綠色供應鏈計畫,,"94年7月1日 至 96年3月31日","48,000 仟元","18,000 仟元","30,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=598
outputs/599.json,台灣檢驗科技股份有限公司,綠色產品管理第三者驗證體系與資訊平台建置,,"94年7月1日 至 96年6月30日","46,400 仟元","18,000 仟元","28,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=599
outputs/600.json,建準電機工業股份有限公司,建準智慧型協同專利加值系統計畫,,"94年9月1日 至 96年8月31日","32,260 仟元","10,000 仟元","22,260 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=600
outputs/601.json,神通電腦股份有限公司,"金融 SOA 服務導向架構示範性應用計畫",,"94年9月1日 至 95年1月31日","7,070 仟元","2,830 仟元","4,240 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=601
outputs/602.json,正隆股份有限公司,RFID紙箱設計測試服務平台,,"94年10月1日 至 96年9月30日","41,000 仟元","14,000 仟元","27,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=602
outputs/603.json,浩漢產品設計公司,創新價值設計服務協同開發計畫,,"94年9月1日 至 96年8月31日","37,500 仟元","12,000 仟元","25,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=603
outputs/604.json,麗嬰房股份有限公司,品牌、通路、消費者擴展計畫,,"94年10月1日 至 96年9月30日","39,050 仟元","13,000 仟元","26,050 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=604
outputs/605.json,協易機械工業股份有限公司,協易機械協作式客戶服務整合計畫,,"94年9月1日 至 96年7月31日","32,000 仟元","11,000 仟元","21,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=605
outputs/606.json,南茂科技股份有限公司test,晶圓測試即時共通資訊平台應用開發計劃,,"95年1月1日 至 96年12月31日","48,100 仟元","14,430 仟元","33,670 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=606
outputs/607.json,富強鑫精密工業股份有限公司,富強鑫全球多品牌服務加值網計畫,,"94年8月1日 至 96年7月31日","35,700 仟元","12,500 仟元","23,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=607
outputs/608.json,金豐機器工業股份有限公司,"金豐機器 e-CF工業服務全球運籌計畫",,"94年8月1日 至 96年7月31日","32,200 仟元","11,000 仟元","21,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=608
outputs/609.json,民間全民電視股份有限公司,影音資訊流通與加值平台計畫(規劃案),,"95年4月1日 至 96年3月31日","4,700 仟元","2,100 仟元","2,600 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=609
outputs/610.json,宏遠興業股份有限公司,"EV-GLM全球運籌深化 e  計畫",,"94年10月1日 至 95年12月31日","38,800 仟元","14,600 仟元","24,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=610
outputs/611.json,年興紡織股份有限公司,年興紡織全球運籌中心卓越計畫,,"94年10月1日 至 96年12月31日","35,000 仟元","13,600 仟元","21,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=611
outputs/612.json,翔威國際股份有限公司,多元化手機應用軟體協同設計開發與測試支援計畫,,"95年1月1日 至 95年6月30日","3,065 仟元","1,250 仟元","1,815 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=612
outputs/613.json,技嘉科技股份有限公司,綠色科技人生開發計畫,,"95年1月1日 至 96年12月31日","48,800 仟元","15,000 仟元","33,800 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=613
outputs/614.json,惠普科技股份有限公司,惠普惠第一(TaiLink)計畫,,"91年7月1日 至 93年3月31日","246,986 仟元","75,000 仟元","171,986 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=614
outputs/615.json,合勤科技股份有限公司,合勤科技寰淨計畫,,"95年6月1日 至 97年2月29日","43,490 仟元","14,500 仟元","28,990 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=615
outputs/616.json,寶熊漁具股份有限公司,寶熊漁具全球研發資源整合計畫,,"95年9月1日 至 97年8月31日","26,500 仟元","9,800 仟元","16,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=616
outputs/617.json,強盛染整股份有限公司,"數位染整協同設計開發計畫(e-Color Collaboration Design)",,"95年8月1日 至 97年7月31日","35,000 仟元","12,500 仟元","22,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=617
outputs/618.json,鼎新電腦股份有限公司,拓易計畫-紡織產業知識運籌e化計畫,,"95年9月1日 至 97年2月28日","41,000 仟元","14,000 仟元","27,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=618
outputs/619.json,凌昂資訊股份有限公司,醫療產業RFID共通平台,,"95年11月1日 至 97年4月30日","9,900 仟元","3,950 仟元","5,950 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=619
outputs/620.json,威寶電信股份有限公司,行動視訊互動應用服務,,"95年8月1日 至 95年11月30日","3,500 仟元","1,400 仟元","2,100 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=620
outputs/621.json,奇美通訊股份有限公司,CMCS手機共同設計服務製造(ODEMS)計畫,,"95年8月1日 至 97年7月31日","49,000 仟元","17,000 仟元","32,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=621
outputs/622.json,財宏科技股份有限公司,網路電子錢建置、推廣計畫(Money-MMP),,"95年11月1日 至 97年10月31日","35,350 仟元","14,140 仟元","21,210 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=622
outputs/623.json,雷虎科技股份有限公司,雷虎科技全球協同運籌計畫,,"95年8月1日 至 97年7月31日","30,000 仟元","12,230 仟元","17,770 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=623
outputs/624.json,德河貿易有限公司,活體水產U化運籌系統,,"95年11月1日 至 97年4月30日","19,000 仟元","7,600 仟元","11,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=624
outputs/625.json,高雄醫學大學,高醫社區健康照顧網資訊系統,,"95年9月1日 至 97年8月31日","40,000 仟元","16,000 仟元","24,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=625
outputs/626.json,紅陽科技股份有限公司,e-escrow線上安全交易系統應用開發計畫(規劃案),,"96年3月1日 至 96年7月31日","2,500 仟元","1,000 仟元","1,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=626
outputs/627.json,汎宇電商股份有限公司,"Auto e-Hub車輛業全球行銷平台建置推廣計畫",,"95年11月1日 至 97年10月31日","32,000 仟元","11,520 仟元","20,480 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=627
outputs/628.json,星動科技股份有限公司,台灣綠產保庫,,"96年1月1日 至 96年7月31日","8,640 仟元","3,400 仟元","5,240 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=628
outputs/629.json,耐美科技股份有限公司,加值型身分認證、交易認證與忠誠管理金融創新服務,,"96年1月1日 至 96年4月30日","4,800 仟元","1,920 仟元","2,880 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=629
outputs/630.json,精英電腦股份有限公司,精英綠色競爭優勢品質計劃,,"96年3月1日 至 97年8月31日","41,500 仟元","13,500 仟元","28,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=630
outputs/631.json,德鴻科技股份有限公司,客服中心人資優化系統軟體開發計畫(規劃案),,"95年11月1日 至 96年4月30日","7,500 仟元","3,500 仟元","4,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=631
outputs/632.json,雙葉開發科技股份有限公司,RFID緊急醫療系統建置計畫,,"95年11月1日 至 97年4月30日","30,300 仟元","12,000 仟元","18,300 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=632
outputs/633.json,叡揚資訊股份有限公司,整合協同作業、知識管理及流程管理之整合型知識工作者作業平台,,"95年11月1日 至 97年8月31日","27,000 仟元","11,500 仟元","15,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=633
outputs/634.json,士林電機廠股份有限公司,士電集團二輪事業營運總部奔馳國際電子化計畫,,"96年3月1日 至 98年2月28日","24,600 仟元","8,420 仟元","16,180 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=634
outputs/635.json,東元電機股份有限公司,以無線射頻為基礎之血袋暨資源管理系統,,"95年11月1日 至 97年4月30日","32,000 仟元","12,000 仟元","20,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=635
outputs/636.json,大山雞場股份有限公司,U化科技之智慧型創新飼育應用計畫,,"96年4月1日 至 98年3月31日","40,000 仟元","12,000 仟元","28,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=636
outputs/637.json,莫洱科技股份有限公司,自主性餐飲服務暨顧客價值共創代理系統規劃案,,"96年1月1日 至 96年5月31日","3,730 仟元","1,600 仟元","2,130 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=637
outputs/638.json,探網科技股份有限公司,中醫藥先導服務平台開發規劃案,,"96年1月1日 至 96年8月31日","6,800 仟元","2,800 仟元","4,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=638
outputs/639.json,碩琦科技股份有限公司,即時通訊協定的新反垃圾郵件技術軟體零組件化開發計劃,,"96年1月1日 至 97年6月30日","11,400 仟元","5,118 仟元","6,282 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=639
outputs/640.json,康和資訊系統股份有限公司,用藥與緊急醫療內外部界接平台,,"95年11月1日 至 97年4月30日","28,000 仟元","10,000 仟元","18,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=640
outputs/641.json,承世資訊系統股份有限公司,金融卡跨平台異業整合支付系統計畫,,"96年3月1日 至 96年8月31日","2,670 仟元","1,000 仟元","1,670 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=641
outputs/642.json,博暉科技股份有限公司,組合式商品交易系統平台,,"96年3月1日 至 96年8月31日","3,750 仟元","1,400 仟元","2,350 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=642
outputs/643.json,凌羣電腦股份有限公司,智慧型金融防詐騙偵測與通報平台,,"96年1月1日 至 96年6月30日","5,300 仟元","2,440 仟元","2,860 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=643
outputs/644.json,勤美股份有限公司,勤美零組件供應配銷服務計畫,,"96年3月1日 至 98年2月28日","38,200 仟元","14,500 仟元","23,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=644
outputs/645.json,春雨工廠股份有限公司,春雨集團品牌價值創新服務加值計畫,,"96年5月1日 至 98年4月30日","36,000 仟元","13,350 仟元","22,650 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=645
outputs/646.json,甲尚股份有限公司,新一代互動Avatar客製服務營運平台,,"96年1月1日 至 97年12月31日","30,000 仟元","13,500 仟元","16,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=646
outputs/647.json,財團法人新光吳火獅醫院,"醫療產業RFID建置導入 ~打造全方位的預防醫學健檢中心~",,"96年4月1日 至 97年9月30日","28,000 仟元","11,000 仟元","17,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=647
outputs/648.json,環隆科技股份有限公司,環隆科技綠色供應鏈計畫,,"96年9月1日 至 98年2月28日","41,640 仟元","14,700 仟元","26,940 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=648
outputs/649.json,美吾華股份有限公司,博登藥局全國醫藥通路社區照護計畫,,"96年4月1日 至 98年3月31日","33,000 仟元","12,050 仟元","20,950 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=649
outputs/650.json,和信超媒體股份有限公司,數位家庭休閒益智遊戲整合平台開發計畫,,"96年4月1日 至 98年3月31日","37,000 仟元","12,000 仟元","25,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=650
outputs/651.json,聯合通商電子商務股份有限公司,客戶導向之供應鏈協同商務產品化及推廣計畫,,"96年5月1日 至 98年4月30日","27,500 仟元","11,000 仟元","16,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=651
outputs/652.json,錦華資訊科技股份有限公司,新巴塞爾協定SOA架構之徵授信生命週期流程管理產品化示範性應用計畫,,"96年5月1日 至 96年10月31日","5,300 仟元","1,900 仟元","3,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=652
outputs/653.json,技嘉科技股份有限公司,"技嘉科技車用電腦(car pc)協同設計鏈計畫",,"96年8月1日 至 98年7月31日","48,000 仟元","17,000 仟元","31,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=653
outputs/654.json,致茂電子股份有限公司,製程測試解決方案協同設計e計劃,,"96年7月1日 至 98年6月30日","28,000 仟元","12,300 仟元","15,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=654
outputs/655.json,宇瞻科技股份有限公司,宇瞻全球運籌價值提升A+計畫,,"96年9月1日 至 98年8月31日","44,500 仟元","16,000 仟元","28,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=655
outputs/656.json,安源通訊股份有限公司,行動支付推動計畫,,"96年4月1日 至 96年9月30日","2,200 仟元","1,000 仟元","1,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=656
outputs/657.json,華東科技股份有限公司,程序型機台模擬操作系統發展計畫,,"96年5月1日 至 98年4月30日","36,000 仟元","14,000 仟元","22,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=657
outputs/658.json,碩網資訊股份有限公司,跨校園行動小額付款共通平台創新應用研發計畫(第一期),,"96年4月1日 至 96年9月30日","6,400 仟元","2,700 仟元","3,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=658
outputs/659.json,年代網際事業股份有限公司,M年代-創新支付計畫,,"96年4月1日 至 96年9月30日","9,650 仟元","4,000 仟元","5,650 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=659
outputs/660.json,恩門科技股份有限公司,"SIMCash 行動支付應用管理系統",,"96年4月1日 至 96年9月30日","14,100 仟元","6,300 仟元","7,800 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=660
outputs/661.json,企碁科技股份有限公司,以IC卡憑證為基礎的手機線上行動支付計畫,,"96年4月1日 至 96年9月30日","10,000 仟元","4,500 仟元","5,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=661
outputs/662.json,冠霆電信科技股份有限公司,"Toll Free Simple Control",,"96年4月1日 至 96年9月30日","2,200 仟元","1,000 仟元","1,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=662
outputs/663.json,宇通光電通信股份有限公司,行動付款創新應用計畫,,"96年4月1日 至 96年9月30日","15,785 仟元","6,300 仟元","9,485 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=663
outputs/664.json,臺灣網路認證股份有限公司,「電子憑證式金融服務」行動化推廣計畫,,"96年4月1日 至 96年9月30日","5,600 仟元","2,500 仟元","3,100 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=664
outputs/665.json,中美企業股份有限公司,數位飯店及虛擬管家建置計畫,,"96年5月1日 至 98年4月30日","60,000 仟元","24,000 仟元","36,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=665
outputs/666.json,正文科技股份有限公司,正文WiMAX創新技術合作網絡計畫,,"96年11月1日 至 98年10月31日","44,000 仟元","15,500 仟元","28,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=666
outputs/667.json,數碼網路科技股份有限公司,"Mobile EZrun 行動支付系統研發暨推廣計畫",,"96年4月1日 至 96年9月30日","3,100 仟元","1,400 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=667
outputs/668.json,海灣國際股份有限公司,科技化文件託管服務系統,,"96年7月1日 至 96年12月31日","6,500 仟元","2,900 仟元","3,600 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=668
outputs/669.json,金揚資訊科技股份有限公司,二維條碼行動付款服務,http://www.quickmark.com.tw,"96年9月1日 至 97年2月29日","5,800 仟元","2,200 仟元","3,600 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=669
outputs/670.json,微程式資訊股份有限公司,RFID智慧型護送系統,http://www.program.com.tw,"97年1月1日 至 98年6月30日","18,000 仟元","7,100 仟元","10,900 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=670
outputs/671.json,德鴻科技股份有限公司,客服中心人資優化系統軟體開發計畫,http://www.dtsc.com.tw,"97年1月1日 至 98年12月31日","33,750 仟元","13,500 仟元","20,250 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=671
outputs/672.json,東捷氣體產業共通應用系統開發計畫,東捷資訊服務股份有限公司,http://www.itts.com.tw,"96年9月1日 至 98年2月28日","30,000 仟元","10,600 仟元","19,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=672
outputs/673.json,鼎緒科技股份有限公司,新世代網路創新應用服務計畫,http://www.distich.com,"97年1月1日 至 97年6月30日","3,100 仟元","1,400 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=673
outputs/674.json,成霖企業股份有限公司,成霖集團全球通路運籌及創新加值服務計畫,http://www.globeunion.com/,"97年1月1日 至 98年12月31日","47,000 仟元","18,000 仟元","29,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=674
outputs/675.json,一零四資訊科技股份有限公司,業務人才評價互動網-平台建置計畫,http://www.104.com.tw,"97年1月1日 至 97年6月30日","7,000 仟元","2,100 仟元","4,900 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=675
outputs/676.json,汎宇電商股份有限公司,"CSHELF WEB 2.0讀者社群計畫",http://www.universalec.com,"97年1月1日 至 97年6月30日","6,200 仟元","2,800 仟元","3,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=676
outputs/677.json,戲子遊戲工作室科技股份有限公司,互動式個人媒體社群分享網站--Roomi,,"97年1月1日 至 97年6月30日","2,200 仟元","1,000 仟元","1,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=677
outputs/679.json,台灣走走網股份有限公司,台灣走走網Web2.0旅遊服務知識平台,http://www.taiwangogo.com.tw,"97年1月1日 至 97年6月30日","1,500 仟元","670 仟元","830 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=679
outputs/680.json,雄獅旅行社股份有限公司,台灣之光旅遊體驗網,http://www.liontravel.com,"97年1月1日 至 97年6月30日","6,200 仟元","2,800 仟元","3,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=680
outputs/681.json,碩網資訊股份有限公司,維基百科內容加值服務研究與開發,http://www.intumit.com,"97年1月1日 至 97年6月30日","2,200 仟元","1,000 仟元","1,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=681
outputs/682.json,凌網科技股份有限公司,"Where 2.0-共通定位服務平台及應用服務",http://www.hyweb.com.tw,"97年1月1日 至 97年6月30日","6,200 仟元","2,800 仟元","3,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=682
outputs/683.json,曜發科技股份有限公司,地產大亨互動地圖式社群平台,http://www.efatek.com,"97年1月1日 至 97年6月30日","3,100 仟元","1,400 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=683
outputs/684.json,波麗斯科技股份有限公司,跨類別之協同式物品分享平台建置計畫,http://blog.ppolis.com,"97年1月1日 至 97年6月30日","1,820 仟元","910 仟元","910 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=684
outputs/685.json,寶石星球股份有限公司,新世代網路手機數位內容網路行銷計畫,http://www.gemmyplanet.com,"97年1月1日 至 97年6月30日","1,550 仟元","700 仟元","850 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=685
outputs/686.json,悠活渡假事業股份有限公司,樂活長住U化服務系統建置計畫,http://www.yoho.com.tw,"97年1月1日 至 98年12月31日","57,500 仟元","23,000 仟元","34,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=686
outputs/900.json,中華電視股份有限公司,DVB-H行動電視創新服務科專計畫,http://www.cts.com.tw,"96年7月1日 至 98年6月30日","71,350 仟元","25,060 仟元","46,290 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=900
outputs/901.json,全國意向顧問股份有限公司,複數資料庫映射技術整合暨消費行為模擬系統建置計畫,http://www.trendgo.com.tw,"96年1月1日 至 98年12月31日","33,310 仟元","11,850 仟元","21,460 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=901
outputs/902.json,佳生企業股份有限公司,整合型臨床試驗運作管理中心建構計畫,http://www.protechlab.com.tw,"96年4月1日 至 98年9月30日","80,000 仟元","26,500 仟元","53,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=902
outputs/903.json,和平整合資訊股份有限公司,災害現場WiMAX通訊指揮系統計畫,http://www.peace.com.tw,"97年1月1日 至 98年9月30日","45,000 仟元","18,000 仟元","27,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=903
